frame.number,_ws.col.Time,_ws.col.Source,_ws.col.Destination,_ws.col.Protocol,_ws.col.Length,_ws.col.Info
68,1.111665341,10.11.12.19,10.11.12.1,HTTP,972,GET /3/1666184690.0555673/%7B%22NoiseL%22:%2054.82608366598818,%20%22NoiseM%22:%2032.240749306033365,%20%22NoiseH%22:%2034.89354706672889,%20%22NoiseA%22:%2020.326730006458405,%20%22Lux%22:%2012.54075,%20%22Prox%22:%201,%20%22Temp%22:%2026.66934079173872,%20%22Humidity%22:%2022.282835177874325,%20%22Pressure%22:%201009.4854245992017,%20%22MassPM1.0%22:%20%221.0485678911209106%22,%20%22MassPM2.5%22:%20%223.9711759090423584%22,%20%22MassPM4.0%22:%20%226.299286365509033%22,%20%22MassPM10%22:%20%227.467148780822754%22,%20%22NumPM0.5%22:%20%220.0%22,%20%22NumPM1.0%22:%20%224.827813148498535%22,%20%22NumPM2.5%22:%20%227.731733798980713%22,%20%22NumPM4.0%22:%20%228.3531494140625%22,%20%22NumPM10%22:%20%228.50070571899414%22,%20%22TPM%22:%20%221.6299999952316284%22%7D HTTP/1.1 
69,1.111754711,10.11.12.1,10.11.12.19,TCP,66,80 → 46788 [ACK] Seq=1 Ack=907 Win=64256 Len=0 TSval=46106021 TSecr=3634705779
70,1.118101908,10.11.12.1,10.11.12.19,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
71,1.118682650,10.11.12.1,10.11.12.19,HTTP,209,HTTP/1.0 200 OK  (text/html)
72,1.119057836,10.11.12.19,10.11.12.1,TCP,66,46788 → 80 [ACK] Seq=907 Ack=18 Win=64256 Len=0 TSval=3634705787 TSecr=46106028
73,1.121089784,10.11.12.19,10.11.12.1,TCP,66,46788 → 80 [FIN, ACK] Seq=907 Ack=162 Win=64128 Len=0 TSval=3634705789 TSecr=46106028
74,1.121165488,10.11.12.1,10.11.12.19,TCP,66,80 → 46788 [ACK] Seq=162 Ack=908 Win=64256 Len=0 TSval=46106031 TSecr=3634705789
75,1.178036404,10.11.12.22,1.1.1.1,TCP,60,58098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
76,1.197462809,10.11.12.1,10.11.12.18,SSH,98,Server: Encrypted packet (len=44)
77,1.199056608,10.11.12.22,1.1.1.1,TCP,74,35960 → 853 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=3425251124 TSecr=0 WS=128
78,1.207747883,1.1.1.1,10.11.12.22,TCP,66,853 → 35960 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1394 SACK_PERM=1 WS=8192
79,1.209099070,10.11.12.22,1.1.1.1,TCP,60,35960 → 853 [ACK] Seq=1 Ack=1 Win=64256 Len=0
80,1.213410282,10.11.12.22,1.1.1.1,TLSv1,334,Client Hello
81,1.222598835,1.1.1.1,10.11.12.22,TCP,54,853 → 35960 [ACK] Seq=1 Ack=281 Win=65536 Len=0
82,1.247823047,10.11.12.18,10.11.12.1,TCP,60,32566 → 22 [ACK] Seq=1 Ack=89 Win=512 Len=0
83,1.279417214,10.11.12.22,1.0.0.1,TCP,60,56762 → 853 [ACK] Seq=1 Ack=1 Win=502 Len=0
84,1.391461821,10.11.12.22,1.1.1.1,TCP,60,[TCP Retransmission] 58098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
85,1.407567165,10.11.12.22,1.0.0.1,TCP,60,[TCP Retransmission] 37902 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
86,1.532229406,10.11.12.20,10.0.128.132,TCP,74,47712 → 8123 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3227893771 TSecr=0 WS=256
87,1.532525388,10.11.12.20,10.0.128.132,TCP,74,47714 → 8123 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 SACK_PERM=1 TSval=3227893778 TSecr=0 WS=256
88,1.553314554,10.11.12.33,18.159.88.239,UDP,74,49443 → 8053 Len=32
89,1.582083976,18.159.88.239,10.11.12.33,UDP,74,8053 → 49443 Len=32
90,1.607446447,10.11.12.22,1.1.1.1,TCP,60,[TCP Retransmission] 58098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
91,1.631345045,10.11.12.22,1.1.1.1,TCP,60,58084 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
92,1.716894124,10.11.12.1,10.11.12.18,SSH,98,Server: Encrypted packet (len=44)
93,1.773509040,10.11.12.18,10.11.12.1,TCP,60,32566 → 22 [ACK] Seq=1 Ack=133 Win=512 Len=0
94,1.791616368,10.11.12.22,1.1.1.1,TCP,60,40664 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
95,1.886651056,40.99.201.226,10.11.12.18,TLSv1.2,94,Application Data
96,1.888513096,10.11.12.18,40.99.201.226,TCP,60,12810 → 443 [ACK] Seq=1 Ack=41 Win=1018 Len=0
97,1.966776199,10.11.12.28,52.29.14.77,UDP,74,54321 → 8053 Len=32
98,1.976897143,3.11.193.37,10.11.12.22,SSL,752,Continuation Data
99,1.991259798,52.29.14.77,10.11.12.28,UDP,74,8053 → 54321 Len=32
100,2.002154910,10.11.12.22,3.11.193.37,SSL,895,Continuation Data
101,2.004720878,3.11.193.37,10.11.12.22,TCP,66,443 → 48190 [ACK] Seq=687 Ack=932 Win=1261 Len=0 TSval=197278129 TSecr=3782617482
102,2.021076000,52.204.94.163,10.11.12.22,TLSv1.2,97,Application Data
103,2.025764897,10.11.12.22,52.204.94.163,TLSv1.2,101,Application Data
104,2.028144586,52.204.94.163,10.11.12.22,TCP,66,443 → 40102 [ACK] Seq=32 Ack=36 Win=186 Len=0 TSval=197278132 TSecr=661090625
105,2.039149291,192.168.0.64,10.11.12.16,TCP,66,80 → 46618 [RST, ACK] Seq=1 Ack=1 Win=122 Len=0 TSval=197278133 TSecr=531163474
106,2.048073066,10.11.12.22,1.0.0.1,TCP,60,53098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
107,2.048073437,10.11.12.22,1.0.0.1,TCP,60,42978 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
108,2.048323456,10.11.12.22,1.1.1.1,TCP,60,[TCP Retransmission] 58098 → 853 [FIN, ACK] Seq=1 Ack=1 Win=502 Len=0
109,2.064312984,10.11.12.22,103.195.103.66,UDP,70,47085 → 9993 Len=28
110,2.064523577,10.11.12.22,84.17.53.155,UDP,70,42232 → 9993 Len=28
111,2.064523836,10.11.12.22,50.7.252.138,UDP,70,42232 → 9993 Len=28
112,2.064524114,10.11.12.22,50.7.252.138,UDP,70,9993 → 9993 Len=28
113,2.064524373,10.11.12.22,104.194.8.134,UDP,70,42232 → 9993 Len=28
114,2.101740864,84.17.53.155,10.11.12.22,UDP,79,9993 → 42232 Len=37
115,2.168267203,103.195.103.66,10.11.12.22,UDP,79,9993 → 47085 Len=37
116,2.171762875,10.11.12.16,10.11.12.1,TCP,74,47618 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=341087087 TSecr=0 WS=128
117,2.171952116,10.11.12.1,10.11.12.16,TCP,74,80 → 47618 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=4126330687 TSecr=341087087 WS=128
118,2.173522730,10.11.12.16,10.11.12.1,TCP,66,47618 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=341087089 TSecr=4126330687
119,2.173790916,10.11.12.16,10.11.12.1,HTTP,921,GET /1/1666184691.107885/%7B%22NoiseL%22:%2049.00089018640906,%20%22NoiseM%22:%2020.59978079744271,%20%22NoiseH%22:%2026.879820350965215,%20%22NoiseA%22:%2016.080081889136164,%20%22Lux%22:%2083.6532,%20%22Prox%22:%203,%20%22Temp%22:%2027.276559688959708,%20%22Humidity%22:%2021.6214445198147,%20%22Pressure%22:%201009.7905223559001,%20%22MassPM1.0%22:%20%221.6299999952316284%22,%20%22MassPM2.5%22:%207.619030475616455,%20%22MassPM4.0%22:%2012.013469696044922,%20%22MassPM10%22:%2014.217875480651855,%20%22NumPM0.5%22:%200.0,%20%22NumPM1.0%22:%2010.040750503540039,%20%22NumPM2.5%22:%2015.523999214172363,%20%22NumPM4.0%22:%2016.69720458984375,%20%22NumPM10%22:%2016.97592544555664,%20%22TPM%22:%201.6299999952316284%7D HTTP/1.1 
120,2.173886231,10.11.12.1,10.11.12.16,TCP,66,80 → 47618 [ACK] Seq=1 Ack=856 Win=64384 Len=0 TSval=4126330689 TSecr=341087089
121,2.180599002,10.11.12.1,10.11.12.16,TCP,83,HTTP/1.0 200 OK  [TCP segment of a reassembled PDU]
122,2.181179244,10.11.12.1,10.11.12.16,HTTP,209,HTTP/1.0 200 OK  (text/html)
123,2.182005171,10.11.12.16,10.11.12.1,TCP,66,47618 → 80 [ACK] Seq=856 Ack=18 Win=64256 Len=0 TSval=341087098 TSecr=4126330696
124,2.184610083,10.11.12.16,10.11.12.1,TCP,66,47618 → 80 [FIN, ACK] Seq=856 Ack=162 Win=64128 Len=0 TSval=341087101 TSecr=4126330697
125,2.184715454,10.11.12.1,10.11.12.16,TCP,66,80 → 47618 [ACK] Seq=162 Ack=857 Win=64384 Len=0 TSval=4126330700 TSecr=341087101
126,2.201396631,104.194.8.134,10.11.12.22,UDP,79,9993 → 42232 Len=37
127,2.230267755,10.11.12.17,10.11.12.1,TCP,74,34760 → 80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM=1 TSval=1513316345 TSecr=0 WS=128
128,2.230428718,10.11.12.1,10.11.12.17,TCP,74,80 → 34760 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM=1 TSval=1001358094 TSecr=1513316345 WS=128
129,2.231426109,10.11.12.17,10.11.12.1,TCP,66,34760 → 80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1513316347 TSecr=1001358094
130,2.231632221,10.11.12.17,10.11.12.1,HTTP,991,GET /2/1666184691.1864133/%7B%22NoiseL%22:%2053.005289543315065,%20%22NoiseM%22:%2022.674606908398175,%20%22NoiseH%22:%2027.999342381549916,%20%22NoiseA%22:%2017.279873138877193,%20%22Lux%22:%20455.004,%20%22Prox%22:%200,%20%22Temp%22:%2030.512938442916457,%20%22Humidity%22:%2018.529089255433572,%20%22Pressure%22:%201010.0904478947153,%20%22MassPM1.0%22:%20%222.0826148986816406%22,%20%22MassPM2.5%22:%20%224.55599308013916%22,%20%22MassPM4.0%22:%20%226.470392227172852%22,%20%22MassPM10%22:%20%227.430722236633301%22,%20%22NumPM0.5%22:%20%227.57308292388916%22,%20%22NumPM1.0%22:%20%2213.689301490783691%22,%20%22NumPM2.5%22:%20%2216.09745216369629%22,%20%22NumPM4.0%22:%20%2216.611055374145508%22,%20%22NumPM10%22:%20%2216.734485626220703%22,%20%22TPM%22:%20%220.9549999833106995%22%7D HTTP/1.1 
131,2.231703998,10.11.12.1,10.11.12.17,TCP,66,80 → 34760 [ACK] Seq=1 Ack=926 Win=64256 Len=0 TSval=1001358095 TSecr=1513316347
